PropertyID;Address;Country;CityInput;City_extracted;Street_extracted;PostalCode;Phone;Status;UpdatedDate;MissingStreet;PostalCode_OK;Phone_OK;City_Match;AnyError;ErrorCount;YearMonth;SourceSystem;IsError;IsMissingStreet;ErrorType
PROP00001;FranceToulouse;France;Toulouse;Toulouse;;32599;-315833483;Active;09.07.2024;MISSING;OK;OK;MATCH;ERROR;1;2024-07;ServiceNow;1;1;MissingStreet
PROP00002;Lyon, Donald Cove 35, France;France;Lyon;Lyon;Donald Cove 35;89197;-319837556;Inactive;12.11.2023;OK;OK;OK;MATCH;OK;0;2023-11;Planon;0;0;OK
PROP00003;UKLeeds, UK;UK;Leeds;Leeds;UK;4406;-597990374;Inactive;29.11.2023;OK;OK;OK;MATCH;OK;0;2023-11;Planon;0;0;OK
PROP00004;ToulouseJeffery Parkways231, France;France;Toulouse;Toulouse;ToulouseJeffery Parkways231;79408;-562032516;Inactive;24.04.2024;OK;OK;OK;MATCH;OK;0;2024-04;MDG;0;0;OK
PROP00005;AdelaideAnna Stravenue73, Australia;Australia;Adelaide;Adelaide;AdelaideAnna Stravenue73;85682;-662081666;Active;16.02.2023;OK;OK;OK;MATCH;OK;0;2023-02;Salesforce;0;0;OK
PROP00006;USA, Phoenix;USA;Phoenix;Phoenix;Phoenix;36964;-783458221;Inactive;09.06.2023;OK;OK;OK;MATCH;OK;0;2023-06;Planon;0;0;OK
PROP00007;Katherine Estate 93, Germany, Cologne;Germany;Cologne;Cologne;Katherine Estate 93;92007;-457327951;Active;10.11.2023;OK;OK;OK;MATCH;OK;0;2023-11;ServiceNow;0;0;OK
PROP00008;Peterson Drives 204, Germany, Cologne;Germany;Cologne;Cologne;Peterson Drives 204;28722;-576610372;Active;15.02.2023;OK;OK;OK;MATCH;OK;0;2023-02;SAP;0;0;OK
PROP00009;SpainBarcelona, Spain;Spain;Barcelona;Barcelona;Spain;13177;-805788224;Inactive;08.10.2024;OK;OK;OK;MATCH;OK;0;2024-10;SAP;0;0;OK
PROP00010;Abbott Rapids 298, Brazil, Brasília;Brazil;Brasília;Brasília;Abbott Rapids 298;35172;-707015849;Active;21.04.2025;OK;OK;OK;MATCH;OK;0;2025-04;MDG;0;0;OK
PROP00011;Australia, Perth;Australia;Perth;Perth;Perth;16862;-563762585;Active;29.12.2022;OK;OK;OK;MATCH;OK;0;2022-12;SAP;0;0;OK
PROP00012;CanadaOttawa;Canada;Ottawa;Ottawa;;82898;-641811906;Active;13.10.2025;MISSING;OK;OK;MATCH;ERROR;1;2025-10;Salesforce;1;1;MissingStreet
PROP00013;USALos AngelesRay Squares47;USA;Los Angeles;Los Angeles;USALos AngelesRay Squares47;9617;-603554865;Active;22.06.2024;OK;OK;OK;MATCH;OK;0;2024-06;SAP;0;0;OK
PROP00014;Donna Trail 183, UK, Leeds;UK;Leeds;Leeds;Donna Trail 183;38431;-971324611;Inactive;22.02.2024;OK;OK;OK;MATCH;OK;0;2024-02;MDG;0;0;OK
PROP00015;ItalyRome;Italy;Rome;Rome;;13739;-846405713;Inactive;25.02.2024;MISSING;OK;OK;MATCH;ERROR;1;2024-02;Planon;1;1;MissingStreet
PROP00016;BrazilSalvador, Brazil;Brazil;Salvador;Salvador;Brazil;48320;-184834961;Inactive;24.04.2025;OK;OK;OK;MATCH;OK;0;2025-04;MDG;0;0;OK
PROP00017;CanadaCalgary, Canada;Canada;Calgary;Calgary;Canada;88342;-803880340;Active;21.07.2024;OK;OK;OK;MATCH;OK;0;2024-07;Salesforce;0;0;OK
PROP00018;UK, Birmingham;UK;Birmingham;Birmingham;Birmingham;85440;-132506131;Inactive;24.06.2025;OK;OK;OK;MATCH;OK;0;2025-06;SAP;0;0;OK
PROP00019;BrasíliaChelsea Extension100, Brazil;Brazil;Brasília;Brasília;BrasíliaChelsea Extension100;70511;-358446612;Active;18.05.2024;OK;OK;OK;MATCH;OK;0;2024-05;Salesforce;0;0;OK
PROP00020;Canada, Calgary, Frank Light 65;Canada;Calgary;Calgary;Frank Light 65;35883;-523118275;Active;01.10.2023;OK;OK;OK;MATCH;OK;0;2023-10;Salesforce;0;0;OK
PROP00021;Chicago, Gabrielle Ville 211, USA;USA;Chicago;Chicago;Gabrielle Ville 211;7832;-984554816;Active;30.10.2024;OK;OK;OK;MATCH;OK;0;2024-10;MDG;0;0;OK
PROP00022;GermanyMunichLydia Valley281;Germany;Munich;Munich;GermanyMunichLydia Valley281;41848;-719462860;Active;04.11.2025;OK;OK;OK;MATCH;OK;0;2025-11;MDG;0;0;OK
PROP00023;GermanyCologne;Germany;Cologne;Cologne;;74842;-946225845;Active;26.03.2025;MISSING;OK;OK;MATCH;ERROR;1;2025-03;ServiceNow;1;1;MissingStreet
PROP00024;ItalyFlorenceLewis Parks198;Italy;Florence;Florence;ItalyFlorenceLewis Parks198;52357;-262946464;Inactive;17.01.2023;OK;OK;OK;MATCH;OK;0;2023-01;Planon;0;0;OK
PROP00025;Thomas Dam 63, France, Marseille;France;Marseille;Marseille;Thomas Dam 63;32826;-969159991;Active;17.01.2025;OK;OK;OK;MATCH;OK;0;2025-01;MDG;0;0;OK
PROP00026;Burgess Meadow 171, Australia, Melbourne;Australia;Melbourne;Melbourne;Burgess Meadow 171;76985;-598066174;Inactive;25.06.2024;OK;OK;OK;MATCH;OK;0;2024-06;ServiceNow;0;0;OK
PROP00027;SydneyCox Dam230, Australia;Australia;Sydney;Sydney;SydneyCox Dam230;67285;-438044981;Active;04.02.2024;OK;OK;OK;MATCH;OK;0;2024-02;SAP;0;0;OK
PROP00028;LeedsDavis Causeway293, UK;UK;Leeds;Leeds;LeedsDavis Causeway293;14872;-806505329;Inactive;26.07.2025;OK;OK;OK;MATCH;OK;0;2025-07;SAP;0;0;OK
PROP00029;Courtney Turnpike165, Bordeaux, France;France;Bordeaux;Bordeaux;Courtney Turnpike165;89693;-184724229;Active;20.04.2025;OK;OK;OK;MATCH;OK;0;2025-04;Salesforce;0;0;OK
PROP00030;Germany, Cologne;Germany;Cologne;Cologne;Cologne;50520;-507576250;Inactive;09.09.2025;OK;OK;OK;MATCH;OK;0;2025-09;MDG;0;0;OK
PROP00031;Canada, Ottawa;Canada;Ottawa;Ottawa;Ottawa;2005;-132980284;Inactive;02.10.2023;OK;OK;OK;MATCH;OK;0;2023-10;Salesforce;0;0;OK
PROP00032;UKBirmingham, UK;UK;Birmingham;Birmingham;UK;98920;-618266349;Active;26.10.2023;OK;OK;OK;MATCH;OK;0;2023-10;ServiceNow;0;0;OK
PROP00033;MunichMack Junctions229, Germany;Germany;Munich;Munich;MunichMack Junctions229;15122;-763069987;Active;25.07.2023;OK;OK;OK;MATCH;OK;0;2023-07;Salesforce;0;0;OK
PROP00034;Graham Motorway 9, Rio de Janeiro;Brazil;Rio de Janeiro;Rio de Janeiro;Graham Motorway 9;926;-377335234;Active;05.01.2025;OK;OK;OK;MATCH;OK;0;2025-01;SAP;0;0;OK
PROP00035;UK, Manchester, Stanton Track 112;UK;Manchester;Manchester;Stanton Track 112;23917;-366448912;Active;12.09.2023;OK;OK;OK;MATCH;OK;0;2023-09;SAP;0;0;OK
PROP00036;Australia, Brisbane, Monica Hills 117;Australia;Brisbane;Brisbane;Monica Hills 117;84249;-137243082;Active;20.10.2023;OK;OK;OK;MATCH;OK;0;2023-10;Salesforce;0;0;OK
PROP00037;France, Paris, Eric Track 273;France;Paris;Paris;Eric Track 273;21675;-834425617;Inactive;17.12.2024;OK;OK;OK;MATCH;OK;0;2024-12;Planon;0;0;OK
PROP00038;SydneyCarol Overpass103, Australia;Australia;Sydney;Sydney;SydneyCarol Overpass103;3053;-303640086;Inactive;09.10.2025;OK;OK;OK;MATCH;OK;0;2025-10;SAP;0;0;OK
PROP00039;SapporoSarah Wells54, Japan;Japan;Sapporo;Sapporo;SapporoSarah Wells54;40807;-618313062;Inactive;17.02.2024;OK;OK;OK;MATCH;OK;0;2024-02;ServiceNow;0;0;OK
PROP00040;Brian Wells1, Cologne, Germany;Germany;Cologne;Cologne;Brian Wells1;74865;-717877677;Active;30.07.2024;OK;OK;OK;MATCH;OK;0;2024-07;Salesforce;0;0;OK
PROP00041;Christopher Oval 268, Germany, Hamburg;Germany;Hamburg;Hamburg;Christopher Oval 268;9572;-674271222;Inactive;12.04.2023;OK;OK;OK;MATCH;OK;0;2023-04;MDG;0;0;OK
PROP00042;FranceToulouse, France;France;Toulouse;Toulouse;France;72564;-495234153;Inactive;21.05.2023;OK;OK;OK;MATCH;OK;0;2023-05;MDG;0;0;OK
PROP00043;Joseph Well 117, Salvador;Brazil;Salvador;Salvador;Joseph Well 117;80008;-188042057;Inactive;21.06.2024;OK;OK;OK;MATCH;OK;0;2024-06;MDG;0;0;OK
PROP00044;Brandt Plains 73, Japan, Osaka;Japan;Osaka;Osaka;Brandt Plains 73;99495;-127164885;Active;25.03.2025;OK;OK;OK;MATCH;OK;0;2025-03;Planon;0;0;OK
PROP00045;JapanOsaka;Japan;Osaka;Osaka;;88540;-410716741;Inactive;27.11.2023;MISSING;OK;OK;MATCH;ERROR;1;2023-11;Salesforce;1;1;MissingStreet
PROP00046;AustraliaAdelaideKim Path237;Australia;Adelaide;Adelaide;AustraliaAdelaideKim Path237;59678;-122091951;Active;04.04.2025;OK;OK;OK;MATCH;OK;0;2025-04;SAP;0;0;OK
PROP00047;John Circles101, Turin, Italy;Italy;Turin;Turin;John Circles101;44814;-387273800;Inactive;18.12.2023;OK;OK;OK;MATCH;OK;0;2023-12;Salesforce;0;0;OK
PROP00048;Brianna Forks 9, Brazil, Brasília;Brazil;Brasília;Brasília;Brianna Forks 9;77629;-899523437;Inactive;29.11.2022;OK;OK;OK;MATCH;OK;0;2022-11;Salesforce;0;0;OK
PROP00049;Japan, Osaka, Adrian Station 145;Japan;Osaka;Osaka;Adrian Station 145;83220;-672353435;Active;08.05.2025;OK;OK;OK;MATCH;OK;0;2025-05;MDG;0;0;OK
PROP00050;Jeremy Bypass 39, Australia, Sydney;Australia;Sydney;Sydney;Jeremy Bypass 39;43810;-308900854;Inactive;29.10.2025;OK;OK;OK;MATCH;OK;0;2025-10;MDG;0;0;OK
PROP00051;GermanyCologneWillie Harbors52;Germany;Cologne;Cologne;GermanyCologneWillie Harbors52;88185;-988550157;Inactive;22.03.2023;OK;OK;OK;MATCH;OK;0;2023-03;ServiceNow;0;0;OK
PROP00052;ItalyRome, Italy;Italy;Rome;Rome;Italy;95312;-682304177;Active;27.05.2024;OK;OK;OK;MATCH;OK;0;2024-05;MDG;0;0;OK
PROP00053;Brazil, Salvador, Sanchez Mountains 24;Brazil;Salvador;Salvador;Sanchez Mountains 24;53855;-780711614;Inactive;08.11.2023;OK;OK;OK;MATCH;OK;0;2023-11;ServiceNow;0;0;OK
PROP00054;SpainMadrid;Spain;Madrid;Madrid;;56999;-479803936;Active;23.01.2025;MISSING;OK;OK;MATCH;ERROR;1;2025-01;MDG;1;1;MissingStreet
PROP00055;Henderson Mountain 121, USA, Los Angeles;USA;Los Angeles;Los Angeles;Henderson Mountain 121;96062;-334321085;Active;09.06.2025;OK;OK;OK;MATCH;OK;0;2025-06;ServiceNow;0;0;OK
PROP00056;Emily Rue 280, Liverpool;UK;Liverpool;Liverpool;Emily Rue 280;13400;-449353763;Inactive;09.05.2023;OK;OK;OK;MATCH;OK;0;2023-05;ServiceNow;0;0;OK
PROP00057;Italy, Naples, Richard Junction 168;Italy;Naples;Naples;Richard Junction 168;14823;-149280539;Active;31.08.2024;OK;OK;OK;MATCH;OK;0;2024-08;Salesforce;0;0;OK
PROP00058;James Plain175, Munich, Germany;Germany;Munich;Munich;James Plain175;59301;-371993952;Active;17.07.2024;OK;OK;OK;MATCH;OK;0;2024-07;Salesforce;0;0;OK
PROP00059;LondonRobert Harbors170, UK;UK;London;London;LondonRobert Harbors170;61138;-257012310;Inactive;11.04.2023;OK;OK;OK;MATCH;OK;0;2023-04;SAP;0;0;OK
PROP00060;Brisbane, Nancy Club 162, Australia;Australia;Brisbane;Brisbane;Nancy Club 162;58583;-461988088;Active;14.09.2023;OK;OK;OK;MATCH;OK;0;2023-09;Salesforce;0;0;OK
PROP00061;Italy, Milan;Italy;Milan;Milan;Milan;2435;-645237969;Active;20.07.2025;OK;OK;OK;MATCH;OK;0;2025-07;SAP;0;0;OK
PROP00062;SpainSeville;Spain;Seville;Seville;;31483;-775114182;Active;24.10.2023;MISSING;OK;OK;MATCH;ERROR;1;2023-10;Salesforce;1;1;MissingStreet
PROP00063;BrazilRio de JaneiroRichard Orchard104;Brazil;Rio de Janeiro;Rio de Janeiro;BrazilRio de JaneiroRichard Orchard104;28517;-116958611;Inactive;16.01.2025;OK;OK;OK;MATCH;OK;0;2025-01;Planon;0;0;OK
PROP00064;Barrera Expressway 8, Italy, Florence;Italy;Florence;Florence;Barrera Expressway 8;50173;-823637409;Inactive;19.04.2025;OK;OK;OK;MATCH;OK;0;2025-04;ServiceNow;0;0;OK
PROP00065;Tricia Greens 134, UK, Liverpool;UK;Liverpool;Liverpool;Tricia Greens 134;60139;-714942250;Inactive;18.01.2023;OK;OK;OK;MATCH;OK;0;2023-01;MDG;0;0;OK
PROP00066;USAChicagoHenderson Street66;USA;Chicago;Chicago;USAChicagoHenderson Street66;73346;-930348997;Active;21.08.2025;OK;OK;OK;MATCH;OK;0;2025-08;Planon;0;0;OK
PROP00067;ItalyRome;Italy;Rome;Rome;;29035;-179667333;Active;04.04.2023;MISSING;OK;OK;MATCH;ERROR;1;2023-04;Salesforce;1;1;MissingStreet
PROP00068;Beth Plains244, Kyoto, Japan;Japan;Kyoto;Kyoto;Beth Plains244;8490;-822620388;Active;10.11.2023;OK;OK;OK;MATCH;OK;0;2023-11;ServiceNow;0;0;OK
PROP00069;JapanKyoto;Japan;Kyoto;Kyoto;;62994;-284307177;Active;21.02.2025;MISSING;OK;OK;MATCH;ERROR;1;2025-02;Salesforce;1;1;MissingStreet
PROP00070;Brian Pass 14, Canada, Montreal;Canada;Montreal;Montreal;Brian Pass 14;11001;-470241451;Active;31.03.2024;OK;OK;OK;MATCH;OK;0;2024-03;MDG;0;0;OK
PROP00071;AustraliaSydney;Australia;Sydney;Sydney;;89002;-855570839;Active;03.10.2024;MISSING;OK;OK;MATCH;ERROR;1;2024-10;ServiceNow;1;1;MissingStreet
PROP00072;MunichRichard Port188, Germany;Germany;Munich;Munich;MunichRichard Port188;32772;-771894248;Active;23.08.2025;OK;OK;OK;MATCH;OK;0;2025-08;Salesforce;0;0;OK
PROP00073;Cologne, Christine Manor 113, Germany;Germany;Cologne;Cologne;Christine Manor 113;86664;-738348467;Active;08.12.2022;OK;OK;OK;MATCH;OK;0;2022-12;MDG;0;0;OK
PROP00074;Los Angeles, Donovan Ford 265, USA;USA;Los Angeles;Los Angeles;Donovan Ford 265;88283;-284587151;Active;05.06.2024;OK;OK;OK;MATCH;OK;0;2024-06;Salesforce;0;0;OK
PROP00075;Allen Locks 62, Rome;Italy;Rome;Rome;Allen Locks 62;17655;-983739963;Active;29.10.2024;OK;OK;OK;MATCH;OK;0;2024-10;Planon;0;0;OK
PROP00076;Bryant Terrace182, Munich, Germany;Germany;Munich;Munich;Bryant Terrace182;10009;-195206438;Inactive;22.08.2024;OK;OK;OK;MATCH;OK;0;2024-08;Salesforce;0;0;OK
PROP00077;Canada, Calgary, Stephen Port 133;Canada;Calgary;Calgary;Stephen Port 133;13605;-149826636;Inactive;06.07.2023;OK;OK;OK;MATCH;OK;0;2023-07;ServiceNow;0;0;OK
PROP00078;Spain, Barcelona;Spain;Barcelona;Barcelona;Barcelona;35261;-812005506;Active;22.07.2024;OK;OK;OK;MATCH;OK;0;2024-07;Salesforce;0;0;OK
PROP00079;Sarah Cliff288, Houston, USA;USA;Houston;Houston;Sarah Cliff288;32519;-204097411;Active;28.03.2025;OK;OK;OK;MATCH;OK;0;2025-03;ServiceNow;0;0;OK
PROP00080;FranceBordeaux, France;France;Bordeaux;Bordeaux;France;71701;-821851016;Active;13.02.2023;OK;OK;OK;MATCH;OK;0;2023-02;Salesforce;0;0;OK
PROP00081;Spain, Valencia;Spain;Valencia;Valencia;Valencia;86218;-281357442;Inactive;30.03.2024;OK;OK;OK;MATCH;OK;0;2024-03;Planon;0;0;OK
PROP00082;Brazil, São Paulo;Brazil;São Paulo;São Paulo;São Paulo;39741;-406195703;Active;16.10.2025;OK;OK;OK;MATCH;OK;0;2025-10;SAP;0;0;OK
PROP00083;Brazil, São Paulo;Brazil;São Paulo;São Paulo;São Paulo;35165;-610390424;Inactive;14.05.2025;OK;OK;OK;MATCH;OK;0;2025-05;SAP;0;0;OK
PROP00084;USALos AngelesPamela Summit57;USA;Los Angeles;Los Angeles;USALos AngelesPamela Summit57;73013;-349046359;Inactive;02.03.2025;OK;OK;OK;MATCH;OK;0;2025-03;ServiceNow;0;0;OK
PROP00085;France, Toulouse, Joseph Rapids 253;France;Toulouse;Toulouse;Joseph Rapids 253;28108;-437953305;Inactive;13.12.2024;OK;OK;OK;MATCH;OK;0;2024-12;Salesforce;0;0;OK
PROP00086;Harris Roads19, Tokyo, Japan;Japan;Tokyo;Tokyo;Harris Roads19;35101;-753816451;Active;11.04.2023;OK;OK;OK;MATCH;OK;0;2023-04;ServiceNow;0;0;OK
PROP00087;Australia, Sydney, King Vista 190;Australia;Sydney;Sydney;King Vista 190;7159;-642643518;Inactive;04.05.2025;OK;OK;OK;MATCH;OK;0;2025-05;SAP;0;0;OK
PROP00088;Germany, Munich;Germany;Munich;Munich;Munich;36766;-875991917;Inactive;10.09.2024;OK;OK;OK;MATCH;OK;0;2024-09;SAP;0;0;OK
PROP00089;Japan, Kyoto;Japan;Kyoto;Kyoto;Kyoto;17647;-729230952;Active;11.08.2024;OK;OK;OK;MATCH;OK;0;2024-08;ServiceNow;0;0;OK
PROP00090;CalgaryMartin Mills172, Canada;Canada;Calgary;Calgary;CalgaryMartin Mills172;72810;-949812791;Active;19.09.2024;OK;OK;OK;MATCH;OK;0;2024-09;ServiceNow;0;0;OK
PROP00091;Hoffman Creek 251, Rio de Janeiro;Brazil;Rio de Janeiro;Rio de Janeiro;Hoffman Creek 251;10363;-933316895;Inactive;11.04.2023;OK;OK;OK;MATCH;OK;0;2023-04;Salesforce;0;0;OK
PROP00092;FranceMarseille;France;Marseille;Marseille;;48894;-668783877;Active;26.04.2023;MISSING;OK;OK;MATCH;ERROR;1;2023-04;MDG;1;1;MissingStreet
PROP00093;Russell Canyon13, Leeds, UK;UK;Leeds;Leeds;Russell Canyon13;40905;-544053844;Active;10.09.2025;OK;OK;OK;MATCH;OK;0;2025-09;Planon;0;0;OK
PROP00094;BrazilBrasília, Brazil;Brazil;Brasília;Brasília;Brazil;5730;-128006342;Inactive;28.01.2023;OK;OK;OK;MATCH;OK;0;2023-01;MDG;0;0;OK
PROP00095;CanadaMontreal;Canada;Montreal;Montreal;;87917;-444364910;Inactive;14.01.2024;MISSING;OK;OK;MATCH;ERROR;1;2024-01;SAP;1;1;MissingStreet
PROP00096;FranceLyonMichael Points219;France;Lyon;Lyon;FranceLyonMichael Points219;53765;-254422894;Inactive;31.07.2024;OK;OK;OK;MATCH;OK;0;2024-07;Planon;0;0;OK
PROP00097;France, Paris;France;Paris;Paris;Paris;21800;-268374465;Inactive;06.04.2023;OK;OK;OK;MATCH;OK;0;2023-04;Salesforce;0;0;OK
PROP00098;Nicole Burg 111, UK, Birmingham;UK;Birmingham;Birmingham;Nicole Burg 111;24010;-401294650;Active;14.01.2023;OK;OK;OK;MATCH;OK;0;2023-01;ServiceNow;0;0;OK
PROP00099;Rio de JaneiroPatton Loop78, Brazil;Brazil;Rio de Janeiro;Rio de Janeiro;Rio de JaneiroPatton Loop78;88307;-104680982;Active;04.06.2024;OK;OK;OK;MATCH;OK;0;2024-06;SAP;0;0;OK
PROP00100;CanadaOttawa, Canada;Canada;Ottawa;Ottawa;Canada;92418;-516046516;Active;02.08.2025;OK;OK;OK;MATCH;OK;0;2025-08;Salesforce;0;0;OK
PROP00101;Patrick Camp 280, Toronto;Canada;Toronto;Toronto;Patrick Camp 280;62195;-108692335;Inactive;25.10.2023;OK;OK;OK;MATCH;OK;0;2023-10;MDG;0;0;OK
PROP00102;ItalyRome, Italy;Italy;Rome;Rome;Italy;46331;-670947307;Active;28.09.2023;OK;OK;OK;MATCH;OK;0;2023-09;Planon;0;0;OK
PROP00103;Canada, Montreal, Hoover Well 14;Canada;Montreal;Montreal;Hoover Well 14;30332;-716543746;Active;16.10.2024;OK;OK;OK;MATCH;OK;0;2024-10;Salesforce;0;0;OK
PROP00104;Andrew Fields 41, Cologne;Germany;Cologne;Cologne;Andrew Fields 41;52728;-915809882;Active;16.05.2025;OK;OK;OK;MATCH;OK;0;2025-05;MDG;0;0;OK
PROP00105;Ramirez Cliff214, Turin, Italy;Italy;Turin;Turin;Ramirez Cliff214;37086;-128327087;Inactive;18.05.2025;OK;OK;OK;MATCH;OK;0;2025-05;Planon;0;0;OK
PROP00106;CanadaToronto, Canada;Canada;Toronto;Toronto;Canada;89566;-781682121;Active;14.12.2023;OK;OK;OK;MATCH;OK;0;2023-12;ServiceNow;0;0;OK
PROP00107;Australia, Melbourne, Crosby Crescent 19;Australia;Melbourne;Melbourne;Crosby Crescent 19;34738;-986705679;Inactive;02.05.2023;OK;OK;OK;MATCH;OK;0;2023-05;Planon;0;0;OK
PROP00108;AustraliaPerth;Australia;Perth;Perth;;5515;-712608541;Active;01.07.2023;MISSING;OK;OK;MATCH;ERROR;1;2023-07;ServiceNow;1;1;MissingStreet
PROP00109;JapanNagoya, Japan;Japan;Nagoya;Nagoya;Japan;95992;-699093764;Inactive;16.05.2024;OK;OK;OK;MATCH;OK;0;2024-05;SAP;0;0;OK
PROP00110;Graham Pass109, Hamburg, Germany;Germany;Hamburg;Hamburg;Graham Pass109;15658;-951115511;Inactive;18.10.2025;OK;OK;OK;MATCH;OK;0;2025-10;Salesforce;0;0;OK
PROP00111;UKLondon, UK;UK;London;London;UK;33887;-539878571;Active;01.09.2023;OK;OK;OK;MATCH;OK;0;2023-09;Salesforce;0;0;OK
PROP00112;NagoyaJeanne Alley61, Japan;Japan;Nagoya;Nagoya;NagoyaJeanne Alley61;68647;-803661870;Active;31.01.2025;OK;OK;OK;MATCH;OK;0;2025-01;SAP;0;0;OK
PROP00113;FranceToulouse, France;France;Toulouse;Toulouse;France;87563;-196700492;Active;11.05.2025;OK;OK;OK;MATCH;OK;0;2025-05;MDG;0;0;OK
PROP00114;Hanson Shore 281, Rome;Italy;Rome;Rome;Hanson Shore 281;16835;-745948199;Inactive;24.10.2025;OK;OK;OK;MATCH;OK;0;2025-10;ServiceNow;0;0;OK
PROP00115;JapanKyotoHunter Shores166;Japan;Kyoto;Kyoto;JapanKyotoHunter Shores166;54029;-858743785;Active;21.03.2023;OK;OK;OK;MATCH;OK;0;2023-03;ServiceNow;0;0;OK
PROP00116;Spain, Seville, Powell Hill 285;Spain;Seville;Seville;Powell Hill 285;73168;-635524730;Active;30.12.2022;OK;OK;OK;MATCH;OK;0;2022-12;SAP;0;0;OK
PROP00117;USAPhoenix, USA;USA;Phoenix;Phoenix;USA;50196;-826883556;Inactive;23.04.2024;OK;OK;OK;MATCH;OK;0;2024-04;SAP;0;0;OK
PROP00118;FrankfurtChristina Hollow154, Germany;Germany;Frankfurt;Frankfurt;FrankfurtChristina Hollow154;53726;-456049174;Inactive;06.12.2023;OK;OK;OK;MATCH;OK;0;2023-12;SAP;0;0;OK
PROP00119;Los AngelesKevin Fords89, USA;USA;Los Angeles;Los Angeles;Los AngelesKevin Fords89;56847;-647847546;Inactive;28.05.2025;OK;OK;OK;MATCH;OK;0;2025-05;Planon;0;0;OK
PROP00120;Italy, Turin;Italy;Turin;Turin;Turin;89056;-128497427;Inactive;06.08.2024;OK;OK;OK;MATCH;OK;0;2024-08;SAP;0;0;OK
PROP00121;UK, Birmingham, William Underpass 179;UK;Birmingham;Birmingham;William Underpass 179;96964;-487423108;Inactive;27.07.2023;OK;OK;OK;MATCH;OK;0;2023-07;SAP;0;0;OK
PROP00122;AdelaideDonna Haven193, Australia;Australia;Adelaide;Adelaide;AdelaideDonna Haven193;68062;-826650690;Active;18.03.2024;OK;OK;OK;MATCH;OK;0;2024-03;MDG;0;0;OK
PROP00123;CanadaToronto;Canada;Toronto;Toronto;;31285;-116255499;Active;19.10.2025;MISSING;OK;OK;MATCH;ERROR;1;2025-10;Salesforce;1;1;MissingStreet
